2022-12-05 15:19:10,308 |    INFO | client | Starting input thread
2022-12-05 15:19:15,964 | WARNING | client | Server has disconnected
2022-12-05 15:19:29,599 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:19:53,113 | WARNING | client | Server has disconnected
2022-12-05 15:20:31,420 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:20:31,431 |    INFO | client | Logging as u2...
2022-12-05 15:20:31,431 |    INFO | client | Starting input thread
2022-12-05 15:20:39,005 |    INFO | client | Connection terminated
2022-12-05 15:20:43,207 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:20:43,218 |    INFO | client | Logging as u2...
2022-12-05 15:20:43,219 |    INFO | client | Starting input thread
2022-12-05 15:21:41,618 |    INFO | client | Connection terminated
2022-12-05 15:21:47,807 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:21:47,823 |    INFO | client | Logging as u2...
2022-12-05 15:21:47,823 |    INFO | client | Starting input thread
2022-12-05 15:21:50,179 |    INFO | client | Connection terminated
2022-12-05 15:21:51,549 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:22:31,170 | WARNING | client | Server has disconnected
2022-12-05 15:22:34,583 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:22:34,594 |    INFO | client | Logging as u2...
2022-12-05 15:22:34,595 |    INFO | client | Starting input thread
2022-12-05 15:22:49,378 | WARNING | client | Server has disconnected
2022-12-05 15:22:58,709 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:22:58,729 |    INFO | client | Logging as u2...
2022-12-05 15:22:58,729 |    INFO | client | Starting input thread
2022-12-05 15:23:20,356 | WARNING | client | Server has disconnected
2022-12-05 15:23:41,804 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:25:32,103 | WARNING | client | Server has disconnected
2022-12-05 15:25:44,280 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:26:03,322 | WARNING | client | Server has disconnected
2022-12-05 15:26:05,880 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:26:05,891 |    INFO | client | Logging as u2...
2022-12-05 15:26:05,892 |    INFO | client | Starting input thread
2022-12-05 15:26:13,930 | WARNING | client | Server has disconnected
